dx,dy,dz,ax,ay,az
155.0,-0.7,227.9,3.32,79.43,3.04
160.8,-35.7,212.1,4.5,81.3,5.91
178.5,-37.8,238.8,7.18,82.74,7.17
176.2,-31.6,219.4,9.01,83.38,8.25
170.2,-41.6,189.2,9.51,81.28,10.13
170.6,-16.8,184.9,-3.27,73.23,-0.58
161.5,47.5,182.7,-7.47,82.89,-7.72
164.8,49.4,201.3,-11.19,82.24,-11.02
165.8,72.4,183.7,-6.13,82.73,-5.33
166.2,98.6,170.6,-1.28,75.63,-9.35
168.3,104.3,211.5,7.56,85.68,-11.48
125.6,107.4,208.2,15.45,78.18,5.25
134.1,26.6,163.7,-0.71,77.36,-2.25
136.2,8.3,208.2,-1.56,82.71,-1.46
113.3,17.5,233.1,-1.21,82.43,-0.82
124.2,-9.7,247.3,-0.99,82.76,-0.32
132.5,20.7,240.8,-5.03,82.24,-5.11
80.6,53.9,210.2,-10.33,81.18,-10.2
